Lang,Project,Type,Items,Comments
EN,,BS,Cash,the balance as at <DATE> represented <AMT> of cash at bank with no restricted use. We have not obtained the bank statements yet
EN,,BS,AR,"the balance as at <DATE> totalled <AMT>, mainly entailing the receivables of actual rental and property management income with issued fapiao from <ENTITY>, which were in line with the payment terms in the leasing agreements. The balance decreased dramatically due to the change of collection period. No bad debt had been incurred historically"
EN,,BS,Prepayments,"the balance as at <DATE> mainly entailed: 1) <AMT> of upfront payments for utility expenses; and 2) <AMT> in upfront payments for the next 1 year insurance fees"
EN,,BS,OR,"the balance as at <DATE> mainly entailed <AMT> of loans to the related party, Shanghai Yishang. Management said that the related-party loans were interest-free and would be settled prior to the proposed transaction"
EN,,BS,Other CA,"the balance as at <DATE> mainly represented <AMT> in deductible input VAT, and the balance as at <DATE> mainly represented <AMT> in advance payment of CIT"
EN,,BS,IP,"As regards the land use right, the land is located in <ENTITY> for industrial use, with land-use life of 50 years (until <DATE>). The investment properties were fully mortgaged for <ENTITY> bank loans. The original cost also comprised <AMT> of deed tax (<PCT> of the land premium). The land is depreciated using the straight-line method of 50-year useful life with no residual value. The original cost of the warehouses was <AMT>, depreciated using the straight-line method of 20-year useful life with a <PCT> residual rate"
EN,,BS,NCA,"the balance as at <DATE> mainly represented the net book values of electronic devices and office equipment, which amounted to <AMT> and <AMT> respectively. Electronic equipment and office equipment were both depreciated using the straight-line method over a 3-year useful life with a <PCT> residual value"
EN,,BS,DTA,"the balance as at <DATE> mainly arose from the impact of revenue recognition in the rent-free period, un-utilised tax losses, and liabilities that were accrued but not paid"
EN,,BS,Advances,there was no balance as at <DATE>. The balance as at the end of <DATE> and <DATE> represented prepaid rentals and property management income from tenants
EN,,BS,Tax payable,the balance decreased during the Period mainly due to the significant decrease in CIT payable (<AMT> at the end of <DATE>) and output VAT payable; the balance as at <DATE> represented <AMT> of SD payable
EN,,BS,OP,"the balance as at <DATE> mainly entailed: <AMT> of borrowings from related parties; <AMT> of accrued expenses for consulting fees, accounting service fees, and property management fees; <AMT> of interest payables arising from bank loans"
EN,,BS,NCL due within one year,the balance as at <DATE> represented onshore bank loans of <AMT> that would be due within 1 year
EN,,BS,Long-term loans,the balance as at <DATE> represented the loan owed to <ENTITY> amounting to about <AMT> that would be due beyond 1 year. The weighted average interest rate during the Period was about <PCT>
EN,,BS,Other NCL,the balance of <AMT> as at <DATE> represented lease deposit
EN,,BS,Capital,"the registered capital was <AMT>. All registered capital had been paid up and verified. The balance at the consolidated level as at <DATE> represented <AMT> paid-in capital. We checked the audit report and found no differences in respect of this amount"
EN,,BS,OCI,the balance represented the translation differences arising from the translation of offshore USD financial statements to CNY
EN,,BS,Reserve,the accumulated reserve fund amounted to <AMT> as at <DATE>
EN,,BS,CIP,the balance as at <DATE> represented some dynamic compaction work. According to internal accounting policy, construction costs were accounted for based on the construction progress maintained in the system by the engineering department, and the finance department would accrue the construction costs accordingly
EN,,BS,Other NCA,the balance as at <DATE> represented the levelling impact of revenue recognition in the rent-free period of <AMT>; it will not be given any value in the NAV calculation
EN,,BS,DTL,mainly generated from the impact of revenue recognition in the rent-free period
EN,,BS,Long-term payables,"represented property-related government grants, which were initially recorded as long-term payables and then recognised in other income on a straight-line basis over the useful life period of the Targeted properties"
EN,,IS,OI,"<ENTITY> mainly generated revenue from leasing income and property management service income with around a 50:50 ratio. Project was <PCT> leased to entities under <ENTITY> since <DATE>. The increase in revenue was mainly driven by the steady annual escalation in both leasing income and property management service income"
EN,,IS,OC,"mainly comprised depreciation and amortisation expenses of <AMT>, property management costs of <AMT>, maintenance fees of <AMT>, and other office expenses incurred for daily operation, which were accounted for on an accrual basis"
EN,,IS,Tax and Surcharges,"mainly comprised RET of <AMT>, LUT of <AMT>, and other tax and surcharges of <AMT> incurred during the Period for land and properties owned"
EN,,IS,GA,"mainly comprised consulting fees, office expenses incurred for daily operations, accounting for <PCT> and <PCT> of total G&A expenses in <DATE> respectively. Management stated that G&A expenses were all accounted for on accrual basis"
EN,,IS,Fin Exp,"mainly represented interest expenses arising from external bank loans of <AMT>, as well as interest income, bank charges, and net gain (or loss) on exchange differences incurred during the Period. The weighted average interest rate during the Period was about <PCT>"
EN,,IS,Non-operating Income,mainly represented tax returns during the Period
EN,,IS,Non-operating Exp,the amount in <DATE> mainly represented poverty relief donation
EN,,IS,Income tax,included the current income tax expenses and deferred income tax expenses stemming from the temporary differences between the financial books and tax books
EN,,IS,Selling cost,"represented leasing commission of <AMT>, <AMT> and <AMT> in <DATE>, <DATE> and <DATE> respectively"
